id,Publication Year,Author,Title,Publication Title,ISSN,DOI,Abstract Note,Date,PMID,AERO_colour,mono_combination,timestamp_started,referenceid,notes,total_N,funding,end,ORR_n,ORR_denom,SAE_34,SAE_denom,AERO_color,comments,comments_weird,start,endpoint,Drug_Sunitinib,Drug_Sorafenib,mono_combo,SAE_5,single_select_2,claim_quote,CiteNet_count,Author_Year
1,2010,"H, Wildiers; C, Fontaine; P, Vuylsteke; M, Martens; J.l, Canon; W, Wynendaele; C, Focan; J, De Greve; P, Squifflet; R, Paridaens",Multicenter phase II randomized trial evaluating antiangiogenic therapy with sunitinib as consolidation after objective response to taxane chemotherapy in women with HER2-negative metastatic breast cancer,Breast Cancer Research and Treatment,0167-6806,10.1007/s10549-010-1066-x,"The aim of this study is to test the hypothesis that antiangiogenic treatment with sunitinib consolidation can prolong remissions induced by taxane-based chemotherapy in women with metastatic breast cancer. The method involves a two-arm open-label (2:1 randomization) multicenter, randomized phase II trial evaluating the efficacy of sunitinib (arm A) versus no therapy (arm B) in patients with HER-2-negative metastatic breast cancer who achieved an objective response to taxane-based chemotherapy. The results of this study indicates that the primary endpoint of progression-free survival (PFS) >5 months was achieved in 10 of 36 patients (28%) in arm A and 4 of 19 patients (21%) in arm B. The median PFS was 2.8 and 3.1 months, respectively. A protocol amendment to the sunitinib dosing schedule was made because 53% (17/32) of patients treated at a starting dose of 50 mg (4 weeks on/2 weeks off) required dose reduction. Changing the starting dose to sunitinib 37.5 mg continuously resulted in dose reductions in 44% (7/16) of patients. Grades III-IV toxicity occurred in 69% of patients in arm A (fatigue 31%, musculoskeletal pain 11%, neutropenia and thrombopenia 8%) and 11% in arm B. The proof-of-principle study does not confirm the hypothesis that sunitinib consolidation therapy can lead to a predefined clinically relevant proportion of patients with PFS of >5 months after an objective response to taxanes. Furthermore, toxicity was significant. © 2010 Springer Science+Business Media, LLC.",2010-09,,red,m,2017-01-15 10:32:13,1,toxicity described as not ok. It was a consolidation study -> ORR high,56,industry_only,2009-03-01,36,36,11,36,red ,n,NULL,2006-02-01,PFS,1,NULL,Mono_therapy,NULL,contradict,"Nevertheless, accumulated data from this\nstudy and other recent clinical trials do not support the use of\nsunitinib in the treatment of breast cancer.",0,Wildiers
2,2008,"H.j, Burstein; A.d, Elias; H.s, Rugo; M.a, Cobleigh; A.c, Wolff; P.d, Eisenberg; M, Lehman; B.j, Adams; C.l, Bello; S.e, DePrimo; C.m, Baum; K.d, Miller","Phase II study of sunitinib malate, an oral multitargeted tyrosine kinase inhibitor, in patients with metastatic breast cancer previously treated with an anthracycline and a taxane",Journal of Clinical Oncology,0732-183X,10.1200/JCO.2007.14.5375,"Purpose: Sunitinib is an oral, multitargeted tyrosine kinase inhibitor that inhibits vascular endothelial growth factor receptor (VEGFR), platelet-derived growth factor receptor, stem cell factor receptor (KIT), and colony-stimulating factor-1 receptor. This phase II, open-label, multicenter study evaluated sunitinib monotherapy in patients with metastatic breast cancer (MBC). Patients and Methods: Sixty-four patients previously treated with an anthracycline and a taxane received sunitinib 50 mg/d in 6-week cycles (4 weeks on, then 2 weeks off treatment). The primary end point was objective response rate. Plasma samples were obtained for pharmacokinetic and biomarker analysis. Results: Seven patients achieved a partial response (median duration, 19 weeks), giving an overall response rate of 11%. Three additional patients (5%) maintained stable disease for > 6 months. Median time to progression and overall survival were 10 and 38 weeks, respectively. Notably, responses occurred in triple negative tumors and HER2-positive, trastuzumab-treated patients. Thirty-three patients (52%) required dose interruption during > 1 cycle, and 25 patients required dose reduction (39%). Thirty-six patients (56%) had dose modifications due to adverse events (AEs). Treatment was associated with increases in plasma VEGF and decreases in soluble VEGFRs and KIT. The most common AEs were fatigue, nausea, diarrhea, mucosal inflammation, and anorexia. Most AEs were mild to moderate (grade 1 to 2) in severity and were effectively managed with dose delays or reductions. Conclusion: Sunitinib is active in patients with heavily pretreated MBC. Most AEs were of mild-to-moderate severity and manageable with supportive treatment and/or dose modification. Further studies in breast cancer are warranted. © 2008 by American Society of Clinical Oncology.",2008,,green,m,2017-01-13 09:11:27,2,NULL,64,industry_only,2005-11-01,7,64,22,64,green,n,NULL,2004-03-01,ORR,1,NULL,Mono_therapy,,support,"We believe these data indicate that sunitinib has activity in\nadvanced breast cancer, and is reasonably well tolerated. These\nfindings are encouraging when compared with other recent expe-\nrience of single-agent angiogenesis inhibitors in MBC.",16,Burstein
3,2012,"J, Bergh; I.m, Bondarenko; M.r, Lichinitser; A, Liljegren; R, Greil; N.l, Voytko; A.n, Makhson; J, Cortes; A, Lortholary; J, Bischoff; A, Chan; S, Delaloge; X, Huang; K.a, Kern; C, Giorgetti","First-line treatment of advanced breast cancer with sunitinib in combination with docetaxel versus docetaxel alone: Results of a prospective, randomized phase III study",Journal of Clinical Oncology,0732-183X,10.1200/JCO.2011.35.7376,"Purpose: To investigate whether sunitinib plus docetaxel improves clinical outcomes for patients with human epidermal growth factor receptor 2 (HER2)/neu-negative advanced breast cancer (ABC) versus docetaxel alone. Patients and Methods: In this phase III study, patients were randomly assigned to open-label combination therapy (sunitinib 37.5 mg/d, days 2 to 15 every 3 weeks; and docetaxel 75 mg/m<sup>2</sup>, day 1 every 3 weeks) or monotherapy (docetaxel 100 mg/m<sup>2</sup> every 3 weeks). Progression-free survival (PFS) was the primary end point. Results: Two hundred ninety-six patients were randomly assigned to combination therapy, and 297 patients were assigned to monotherapy. Median PFS times were 8.6 and 8.3 months with combination therapy and monotherapy, respectively (hazard ratio, 0.92; one-sided P = .265). The objective response rate (ORR) was significantly higher with the combination (55%) than with monotherapy (42%; one-sided P = .001). Duration of response was similar in both arms (7.5 months with the combination v 7.2 months with monotherapy). Median overall survival (OS) times were 24.8 and 25.5 months with combination therapy and monotherapy, respectively (one-sided P = .904). There were 107 deaths with the combination and 91 deaths with monotherapy. The frequency of common adverse events (AEs) was higher with the combination, as were treatment discontinuations caused by AEs. Conclusion: The combination of sunitinib plus docetaxel improved ORR but did not prolong either PFS or OS compared with docetaxel alone when given to an unselected HER2/neu-negative cohort as first-line treatment for ABC. Sunitinib combination therapy may also have resulted in AEs that yield an unfavorable risk-benefit ratio. The sunitinib-docetaxel regimen evaluated in this study is not recommended for further use in ABC. © 2012 by American Society of Clinical Oncology.",2012-03,,red,c,2017-01-13 07:44:23,3,NULL,589,industry_only,2010-02-01,296,148,137,295,red ,n,NULL,2007-03-01,PFS,1,NULL,Combo_therapy,6,contradict,"In conclusion, contrary to expectations based on preclinical models and early clinical results, the combination of sunitinib and docetaxel, although improving ORR, failed to prolong PFS or OS compared with docetaxel alone when given as first-line treatment for HER2/neu-negative ABC. The sunitinib-docetaxel regimen evaluated in this study is therefore not recommended for treatment of this patient population.",7,Bergh
4,2014,"T, Bachelot; J.a, Garcia-Saenz; S, Verma; M, Gutierrez; X, Pivot; M.f, Kozloff; C, Prady; X, Huang; R, Khosravan; Z, Wang; R, Cesari; V, Tassell; K.a, Kern; J.-Y, Blay; A, Lluch",Sunitinib in combination with trastuzumab for the treatment of advanced breast cancer: Activity and safety results from a phase II study,BMC Cancer,,10.1186/1471-2407-14-166,"Background: This phase II study evaluated the efficacy and safety/tolerability of sunitinib plus trastuzumab in patients with HER2-positive advanced breast cancer (ABC). Methods: Eligible patients received sunitinib 37.5 mg/day and trastuzumab administered either weekly (loading, 4 mg/kg; then weekly 2 mg/kg) or 3-weekly (loading, 8 mg/kg; then 3-weekly 6 mg/kg). Prior trastuzumab and/or lapatinib treatment were permitted. The primary endpoint was objective response rate (ORR). Results: Sixty patients were enrolled and evaluable for safety; 57 were evaluable for efficacy. The majority of patients (58%) had received no prior chemotherapy in the metastatic setting. The ORR was 37%; the clinical benefit rate (CBR; percent objective response plus stable disease > 24 weeks) was 56%. Among patients who were treatment-naive or had received only adjuvant therapy, the ORR was 44% and the CBR was 59%. Overall, median overall survival had not been reached and the 1-year survival rate was 91%. The majority of adverse events (AEs) were mild to moderate in severity. Forty percent of patients experienced AEs related to measured left ventricular ejection fraction (LVEF) declines, which occurred more frequently in patients who had received prior anthracycline treatment. Ten percent of patients exhibited symptoms related to LVEF declines. One patient died on study from cardiogenic shock. Antitumor response and several safety parameters appeared to correlate with sunitinib exposure. Conclusions: Sunitinib plus trastuzumab demonstrated antitumor activity in patients with HER2-positive ABC, particularly those who were treatment-naive or had only received prior adjuvant treatment. Sunitinib plus trastuzumab had acceptable safety and tolerability in patients with HER2-positive ABC who had not received prior anthracycline therapy. Copyright © Bachelot et al.",2014-03,,green,c,2017-01-13 06:51:18,4,NULL,60,industry_only,2008-07-01,21,57,12,60,green,n,NULL,2006-05-01,ORR,1,NULL,Combo_therapy,NULL,support, the results obtained in this study contribute to the field of antiangiogenesis by adding to the evidence supporting a beneficial effect of targeting both the VEGF and HER2 pathways and by providing a platform for further exploration with other agents that may lead to benefit in specific patient populations.,0,Bachelot
5,2009,"Bianchi, Giulia; Loibl, Sibylle; Zamagni, Claudio; Salvagni, Stefania; Raab, Guenter; Siena, Salvatore; Laferriere, Nicole; Pena, Carol; Lathia, Chetan; Bergamini, Loredana; Gianni, Luca","Phase II multicenter, uncontrolled trial of sorafenib in patients with metastatic breast cancer",Anti-Cancer Drugs,,10.1097/CAD.0b013e32832b2ea0,"This trial was conducted to assess the efficacy and safety of sorafenib in patients with metastatic breast cancer. In this multinational, open-label phase II study, patients with metastatic breast cancer that had progressed after at least one prior chemotherapy regimen were continuously treated with oral sorafenib, 400 mg twice daily. The primary endpoint was overall best response; a secondary endpoint was percentage of patients with stable disease for greater than or equal to 16 weeks. Biomarker analysis were also performed. Of the 56 patients enrolled into the study, 54 were treated with at least one dose of sorafenib. Partial response was observed in one patient (2%) and stable disease in 20 patients (37%); no complete responses were observed. Disease stabilization for greater than or equal to 16 weeks was seen in 12 patients (22%); stabilization for greater than or equal to 6 months in seven patients (13%). The most common drug-related grade 3 adverse events were rash/desquamation (6%), hand-foot skin reaction (4%), and fatigue (4%). Baseline vascular endothelial growth factor levels, levels of soluble epidermal growth factor receptor during treatment and both baseline and changes in soluble human epidermal growth factor receptor 2 levels correlated significantly with clinical outcomes. Although the primary endpoint of overall response rate showed minimal improvement on sorafenib 400 mg twice-daily treatment, the rate of disease stabilization was encouraging in patients treated with one or more lines of chemotherapy. The treatment had a clinically manageable toxicity profile. Further investigation of single-agent sorafenib in this patient population is not recommended; however, studies investigating combinations of sorafenib with chemotherapeutic agents are warranted and ongoing.",2009-08,PMID: 19739318,red,m,2017-01-13 06:21:57,5,NULL,56,NULL,2004-07-01,1,52,3,54,red ,n,NULL,2004-02-01,ORR,NULL,1,Mono_therapy,,inconclusive,"Further investigation of single-agent\nsorafenib in this patient population is not recommended;\nhowever, studies investigating combinations of sorafenib\nwith chemotherapeutic agents are warranted and\nongoing.",9,Bianchi
6,2013,"Gradishar, William J.; Kaklamani, Virginia; Sahoo, Tarini P.; Lokanatha, Dasappa; Raina, Vinod; Bondarde, Shailesh; Jain, Minish; Ro, Sunhee Kwon; Lokker, Nathalie A.; Schwartzberg, Lee","A double-blind, randomised, placebo-controlled, phase 2b study evaluating sorafenib in combination with paclitaxel as a first-line therapy in patients with HER2-negative advanced breast cancer",Journal of Cancer,,10.1016/j.ejca.2012.08.005,INTERPRETATION: The addition of sorafenib to paclitaxel improved disease control but did not significantly improve PFS to support a phase 3 trial of similar design. Toxicity of the combination was manageable with dose reductions.Copyright © 2012 Elsevier Ltd. All rights reserved.,2013-01,PMID: 22954665,red,c,2017-01-12 21:05:01,6,NULL,237,NULL,2010-07-01,80,119,31,115,red ,n,NULL,2007-06-01,PFS,NULL,1,Combo_therapy,2,inconclusive,"In summary, NU07B1 data indicate that the addition\nof sorafenib to paclitaxel as a first-line treatment for\nHER-2 negative advanced breast cancer improves dis-\nease control compared with single-agent paclitaxel with\nregard to TTP, ORR and DOR. However, the effect of\ntreatment on PFS did not reach statistical significance,\nand thus, the data do not support a phase 3 study of\nsimilar design. Targeting specific breast cancer popula-\ntions where this combination may provide a more defin-\nitive  clinical  benefit  warrants  consideratio",5,Gradishar
7,2012,"Baselga, Jose; Segalla, Jose Getulio Martins; Roche, Henri; Del Giglio, Auro; Pinczowski, Helio; Ciruelos, Eva M.; Filho, Sebastiao Cabral; Gomez, Patricia; Van Eyll, Brigitte; Bermejo, Begona; Llombart, Antonio; Garicochea, Bernardo; Duran, Miguel Angel Climent; Hoff, Paulo Marcelo Gehm; Espie, Marc; de Moraes, Andre Augusto Junior Gemeinder; Ribeiro, Ronaldo Albuquerque; Mathias, Clarissa; Gil Gil, Miguel; Ojeda, Belen; Morales, Josefa; Kwon Ro, Sunhee; Li, Shell; Costa, Frederico",Sorafenib in combination with capecitabine: an oral regimen for patients with HER2-negative locally advanced or metastatic breast cancer,Journal of Clinical Oncology,,10.1200/JCO.2011.36.7771,CONCLUSION: Addition of sorafenib to capecitabine improved PFS in patients with HER2-negative advanced breast cancer. The dose of sorafenib used in this trial resulted in unacceptable toxicity for many patients. A phase III confirmatory trial has been initiated with a reduced sorafenib dose.,2012-05,PMID: 22412143,green,c,2017-01-12 20:06:45,7,NULL,229,industry_government,2010-07-01,44,115,44,112,green,n,NULL,2007-08-01,PFS,NULL,1,Combo_therapy,,inconclusive,It remains uncertain whether antiangiogenics in general and multikinase inhibitors in particular will provide a survival benefit in advanced breast cancer.,7,Baselga
8,2016,"D.a, Yardley; N, Dickson; D, Drosick; C, Earwood; R, Inhorn; P, Murphy; J.d, Hainsworth",Sorafenib Plus Ixabepilone as First-Line Treatment of Metastatic HER2-Negative Breast Cancer: A Sarah Cannon Research Institute Phase I/II Trial,Clinical Breast Cancer,1526-8209,10.1016/j.clbc.2016.02.003,"Background The purposes of the present phase I/II trial were (1) to define tolerable doses of ixabepilone and sorafenib when used in combination and (2) to evaluate the efficacy and toxicity of this combination in the treatment of patients with human epidermal growth factor receptor-negative metastatic breast cancer (MBC). Patients and Methods The eligible patients had human epidermal growth factor receptor-negative MBC and had not received previous chemotherapy in the metastatic setting. All patients received ixabepilone intravenously on day 1 of each 21-day treatment cycle; sorafenib was administered orally twice daily. Patients in phase II received the maximum doses identified in phase I. The patients were reevaluated after the completion of 3 treatment cycles; treatment continued until disease progression or intolerable toxicity. A total of 67 patients were required in phase II to demonstrate increased median progression-free survival from 4.2 to 6.2 months (90% power, alpha = 0.05). Results Ten patients entered the phase I portion; the maximum tolerated doses were ixabepilone 32 mg/m<sup>2</sup> and sorafenib 400 mg orally twice daily. A total of 76 patients were treated at the phase II dose. The median progression-free survival was 4.8 months (95% confidence interval, 3.5-6.3 months). The overall response rate was 37%. The regimen was difficult to tolerate for many patients; 20 patients discontinued because of toxicity, and dose reductions were frequent. The common toxicities included neutropenia, fatigue, rash, and neuropathy. Conclusion The combination of ixabepilone and sorafenib was poorly tolerated as first-line treatment of patients with MBC. The activity of the combination was similar to the activity previously reported with single-agent ixabepilone or taxanes. Further development of this combination is not recommended. Copyright © 2016 Elsevier Inc.",2016-06,,red,c,2017-01-12 17:09:35,8,NULL,83,NULL,2012-08-01,39,83,18,76,red ,n,NULL,2009-03-01,"safety, PFS",1,1,Combo_therapy,1,contradict,Further evaluation of this regimen is not recommended. A role for sorafenib in the treatment of MBC seems increasingly unlikely.,0,Yardley
9,2010,"Mayer, E. L.; Dhakil, S.; Patel, T.; Sundaram, S.; Fabian, C.; Kozloff, M.; Qamar, R.; Volterra, F.; Parmar, H.; Samant, M.; Burstein, H. J.",SABRE-B: an evaluation of paclitaxel and bevacizumab with or without sunitinib as first-line treatment of metastatic breast cancer,Annals of Oncology,,10.1093/annonc/mdq260,CONCLUSION: Adding sunitinib to standard doses of bevacizumab plus paclitaxel for metastatic breast cancer is not feasible. Different strategies will be required to evaluate whether there is additional clinical benefit to combining VEGF/VEGFR-targeted agents.,2010-12,PMID: 20497961,red,c,2017-01-12 16:45:15,9,NULL,46,industry_only,2008-01-01,12,17,18,23,red ,n,NULL,2007-03-01,PFS,1,0,Combo_therapy,1,contradict,"Adding sunitinib to standard doses of bevacizumab plus paclitaxel for metastatic breast cancer is not\nfeasible. Different strategies will be required to evaluate whether there is additional clinical benefit to combining VEGF/\nVEGFR-targeted agents\nAlthough SABRE-B attempted to develop a successful\ntherapeutic regimen, the dosing proved, in retrospect, too\nambitious. New and more feasible strategies for safely pairing\nanti-VEGF and anti-VEGFR-targeted treatments will be needed\nto effectively compare whether such an approach would be better\nthan targeting one portion of the pathway at a time.",1,Mayer
10,2013,"Schwartzberg, Lee S.; Tauer, Kurt W.; Hermann, Robert C.; Makari-Judson, Grace; Isaacs, Claudine; Beck, J. Thaddeus; Kaklamani, Virginia; Stepanski, Edward J.; Rugo, Hope S.; Wang, Wei; Bell-McGuinn, Katherine; Kirshner, Jeffrey J.; Eisenberg, Peter; Emanuelson, Richard; Keaton, Mark; Levine, Ellis; Medgyesy, Diana C.; Qamar, Rubina; Starr, Alexander; Ro, Sunhee Kwon; Lokker, Nathalie A.; Hudis, Clifford A.",Sorafenib or placebo with either gemcitabine or capecitabine in patients with HER-2-negative advanced breast cancer that progressed during or after bevacizumab,Clinical Cancer Research,1078-0432,10.1158/1078-0432.CCR-12-3177,CONCLUSION: The addition of sorafenib to gemcitabine/capecitabine provided a clinically small but statistically significant PFS benefit in HER2-negative advanced breast cancer patients whose disease progressed during/after bevacizumab. Combination treatment was associated with manageable toxicities but frequently required dose reductions.Copyright ©2013 AACR,2013-05,PMID: 23444220,green,c,2017-01-12 16:14:03,10,NULL,160,industry_government,2010-09-01,16,81,39,79,green,n,NULL,2007-06-01,PFS,NULL,1,Combo_therapy,,inconclusive,"Sorafenib may be a viable option for patients with MBC even after treatment with bevacizumab. However, these phase IIb trial results are not practice changing. Although the AC01B07 study met the predefined endpoint, a phase III study has not been planned as the duration of PFS was relatively short, the benefit was clinically small, and there was no corresponding improvement in OS. More clinical data are needed in patients with prior bevacizumab treatment to determine if there are definable subsets and whether any specific chemotherapy agents offer clinically meaningful benefits in combination with small-molecule antiangiogenics.",2,Schwartzberg
11,2010,"Kozloff, M.; Chuang, E.; Starr, A.; Gowland, P. A.; Cataruozolo, P. E.; Collier, M.; Verkh, L.; Huang, X.; Kern, K. A.; Miller, K.",An exploratory study of sunitinib plus paclitaxel as first-line treatment for patients with advanced breast cancer,Annals of Oncology,,10.1093/annonc/mdp565,CONCLUSIONS: These data indicate that sunitinib and paclitaxel in combination are well tolerated in patients with locally advanced or MBC. No drug-drug interaction was detected and there was preliminary evidence of antitumor activity.,2010-07,PMID: 20032126,green,c,2017-01-12 14:36:31,11,NULL,22,industry_only,0000-00-00,7,18,10,21,green,n,NULL,2005-01-01,safety,1,NULL,Combo_therapy,,inconclusive,"Sunitinib continues to be evaluated as a potential treatment of advanced breast cancer in combination with chemotherapy and studies with sunitinib are continuing in the neoadjuvant breast cancer setting.\nHowever, a phase III combination study of sunitinib plus paclitaxel versus bevacizumab plus paclitaxel (SUN 1094) was stopped in 2009 as interim analyses showed the primary end point could not be met.",2,Kozloff
12,2012,"Cardoso, Fatima; Canon, Jean-Luc; Amadori, Dino; Aldrighetti, Daniela; Machiels, Jean-Pascal; Bouko, Yasmina; Verkh, Lev; Usari, Tiziana; Kern, Kenneth A.; Giorgetti, Carla; Dirix, Luc",An exploratory study of sunitinib in combination with docetaxel and trastuzumab as first-line therapy for HER2-positive metastatic breast cancer,Breast,,10.1016/j.breast.2012.09.002,CONCLUSIONS: Sunitinib combined with docetaxel and trastuzumab had an acceptable toxicity profile and showed preliminary antitumor activity as first-line treatment for metastatic HER2+ breast cancer.Copyright © 2012 Elsevier Ltd. All rights reserved.,2012-12,PMID: 23022045,green,c,2017-01-12 13:42:41,12,NULL,26,industry_only,2009-02-01,16,22,7,25,green,n,NULL,2006-12-01,safety,1,NULL,Combo_therapy,,support,"A regimen that combines trastuzumab with an antiangiogenic agent seems to be a feasible treatment approach when given in combination with chemotherapy,\nappointing results may be due in part to the fact that the trials were performed in unselected breast cancer populations. It is of utmost importance to discover and validate predictive markers of response to antiangiogenic agents and clearly identify which patients benefit from this approach. This is particularly important with the combined anti-HER2?antiangiogenic targeted approach, which in the present study provided an 82% rate of clinical benefit as first-line treatment for MBC.",0,Cardoso
13,2010,"Barrios, Carlos H.; Liu, Mei-Ching; Lee, Soo Chin; Vanlemmens, Laurence; Ferrero, Jean-Marc; Tabei, Toshio; Pivot, Xavier; Iwata, Hiroji; Aogi, Kenjiro; Lugo-Quintana, Roberto; Harbeck, Nadia; Brickman, Marla J.; Zhang, Ke; Kern, Kenneth A.; Martin, Miguel",Phase III randomized trial of sunitinib versus capecitabine in patients with previously treated HER2-negative advanced breast cancer,Breast Cancer Research & Treatment,,10.1007/s10549-010-0788-0,"This multicenter, randomized, open-label phase III trial (planned enrollment: 700 patients) was conducted to test the hypothesis that single-agent sunitinib improves progression-free survival (PFS) compared with capecitabine as treatment for advanced breast cancer (ABC). Patients with HER2-negative ABC that recurred after anthracycline and taxane therapy were randomized (1:1) to sunitinib 37.5 mg/day or capecitabine 1,250 mg/m(2) (1,000 mg/m(2) in patients >65 years) BID on days 1-14 q3w. The independent data-monitoring committee (DMC) determined during the first interim analysis (238 patients randomized to sunitinib, 244 to capecitabine) that the trial be terminated due to futility in reaching the primary endpoint. No statistical evidence supported the hypothesis that sunitinib improved PFS compared with capecitabine (one-sided P = 0.999). The data indicated that PFS was shorter with sunitinib than capecitabine (median 2.8 vs. 4.2 months, respectively; HR, 1.47; 95% CI, 1.16-1.87; two-sided P = 0.002). Median overall survival (15.3 vs. 24.6 months; HR, 1.17; two-sided P = 0.350) and objective response rates (11 vs. 16%; odds ratio, 0.65; P = 0.109) were numerically inferior with sunitinib versus capecitabine. While no new or unexpected safety findings were reported, sunitinib treatment was associated with higher frequencies and greater severities of many common adverse events (AEs) compared with capecitabine, resulting in more temporary discontinuations due to AEs with sunitinib (66 vs. 51%). The relative dose intensity was lower with sunitinib than capecitabine (73 vs. 95%). Based on these efficacy and safety results, sunitinib should not be used as monotherapy for patients with ABC.",2010-05,PMID: 20339913,red,m,2017-01-12 13:18:11,13,NULL,482,industry_only,2009-07-01,26,238,26,238,red ,n,NULL,2006-11-01,PFS,1,NULL,Mono_therapy,5,inconclusive,"to date, no targeted agent has demonstrated robust benefit as a single agent. (neg.)\nTherefore, emerging evidence suggests that antiangiogenic agents may be best used in combination with chemotherapy and/or inhibitors of other signaling pathways in ABC. (pos)",8,Barrios
